5,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2023 and January-March 2023"
5,"h","","","","","","","",""
5,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
5,"h","State","January 1","","","","","",""
5,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
5,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
5,"h","","","","","","","",""
5,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
5,"d","Alabama",11000,15500,1400,9,2000,880,6
5,"d","Arizona",34000,34000,510,2,290,80,"(Z)"
5,"d","Arkansas",21000,23000,2200,10,1200,10,"(Z)"
5,"d","California",1020000,1330000,196000,15,88000,48000,4
5,"d","Colorado",10500,10500,520,5,520,-,-
5,"d","Connecticut",3600,4000,360,9,560,70,2
5,"d","Florida",270000,305000,34000,11,51000,18500,6
5,"d","Georgia",121000,121000,13000,11,18500,8000,7
5,"d","Idaho",165000,167000,12500,7,4000,8000,5
5,"d","",,,,,,,
5,"d","Illinois",9000,9500,1800,19,1800,320,3
5,"d","Indiana",7000,10000,1300,13,300,40,"(Z)"
5,"d","Iowa",50000,64000,1700,3,210,240,"(Z)"
5,"d","Kansas",3300,3900,490,13,940,20,1
5,"d","Kentucky",9500,10500,1100,10,260,80,1
5,"d","Louisiana",29000,38000,4800,13,6000,3700,10
5,"d","Maine",2600,7500,290,4,190,130,2
5,"d","Maryland",6000,6000,1100,18,670,140,2
5,"d","Massachusetts",6000,8000,820,10,200,80,1
5,"d","Michigan",59000,64000,9000,14,330,2100,3
5,"d","",,,,,,,
5,"d","Minnesota",41000,57000,1100,2,30,1600,3
5,"d","Mississippi",29000,37000,2300,6,65000,4100,11
5,"d","Missouri",6500,9000,940,10,1400,100,1
5,"d","Montana",23000,51000,70,"(Z)",-,-,-
5,"d","Nebraska",17000,23000,1100,5,-,-,-
5,"d","New Jersey",12500,14500,1300,9,530,110,1
5,"d","New Mexico",8500,8500,4600,54,460,760,9
5,"d","New York",40000,40000,8000,20,560,510,1
5,"d","North Carolina",26000,30000,4100,14,2200,2800,9
5,"d","North Dakota",82000,89000,2400,3,2700,1000,1
5,"d","",,,,,,,
5,"d","Ohio",17500,21000,2500,12,190,160,1
5,"d","Oklahoma",16500,17000,1600,9,10,-,-
5,"d","Oregon",77000,97000,8000,8,1500,500,1
5,"d","Pennsylvania",27000,29000,4800,17,430,490,2
5,"d","South Carolina",14500,16000,1700,11,2700,800,5
5,"d","South Dakota",93000,93000,2200,2,-,-,-
5,"d","Tennessee",11000,12000,1800,15,2100,40,"(Z)"
5,"d","Texas",171000,300000,20000,7,62000,8500,3
5,"d","Utah",19000,24000,2600,11,900,360,2
5,"d","Vermont",10000,10000,400,4,30,40,"(Z)"
5,"d","",,,,,,,
5,"d","Virginia",9500,10500,1200,11,470,150,1
5,"d","Washington",65000,99000,13500,14,270,250,"(Z)"
5,"d","West Virginia",5000,6000,600,10,40,40,1
5,"d","Wisconsin",27000,29000,3300,11,1400,270,1
5,"d","Wyoming",15000,17000,150,1,-,-,-
5,"d","",,,,,,,
5,"d","Other States 5/",28750,31050,730,2,2510,470,2
5,"d","",,,,,,,
5,"d","United States",2729750,"(X)",373880,14,324400,113440,4
5,"c",""
5,"f","-  Represents zero."
5,"f","(X)  Not applicable."
5,"f","(Z)  Less than half of the unit shown."
5,"f","1/ January 1 colonies plus all colonies moved into that state during the quarter."
5,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 colonies."
5,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
5,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 colonies."
5,"f","5/ Includes data for States not published in this table."
