19,"t","Honey: Released March 15, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
19,"t","Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2022"
19,"t","[Colonies which produced honey in more than one State were counted in each State]"
19,"h","","","","","","",""
19,"h","","Honey","Yield","","","Average","Value"
19,"h","State","producing","per","Production","Stocks","price per","of"
19,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
19,"h","","","","","","",""
19,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(dollars)","(1,000 dollars)"
19,"d","Alabama",10,40,400,84,4.80,1920
19,"d","Arizona",23,45,1035,476,2.70,2795
19,"d","Arkansas",20,56,1120,426,2.70,3024
19,"d","California",305,38,11590,811,2.69,31177
19,"d","Colorado",31,42,1302,339,3.35,4362
19,"d","Florida",210,35,7350,368,3.27,24035
19,"d","Georgia",103,32,3296,99,3.08,10152
19,"d","Idaho",94,29,2726,627,2.73,7442
19,"d","Illinois",10,47,470,141,6.27,2947
19,"d","",,,,,,
19,"d","Indiana",9,63,567,261,4.74,2688
19,"d","Iowa",48,51,2448,710,3.06,7491
19,"d","Kansas",6,62,372,167,4.34,1614
19,"d","Kentucky",7,36,252,68,6.12,1542
19,"d","Louisiana",42,61,2562,359,2.96,7584
19,"d","Maine",10,23,230,64,6.40,1472
19,"d","Michigan",82,41,3362,706,3.04,10220
19,"d","Minnesota",102,51,5202,728,2.79,14514
19,"d","Mississippi",21,95,1995,60,3.20,6384
19,"d","Missouri",8,41,328,151,5.23,1715
19,"d","",,,,,,
19,"d","Montana",123,61,7503,2176,2.64,19808
19,"d","Nebraska",34,44,1496,598,2.89,4323
19,"d","New Jersey",16,39,624,62,4.26,2658
19,"d","New York",54,53,2862,916,3.82,10933
19,"d","North Carolina",13,39,507,198,6.93,3514
19,"d","North Dakota",520,60,31200,4680,2.60,81120
19,"d","Ohio",19,66,1254,464,3.52,4414
19,"d","Oregon",92,37,3404,1191,3.27,11131
19,"d","Pennsylvania",23,46,1058,487,5.59,5914
19,"d","South Carolina",13,39,507,91,5.00,2535
19,"d","",,,,,,
19,"d","South Dakota",185,39,7215,2814,2.57,18543
19,"d","Tennessee",9,47,423,102,5.65,2390
19,"d","Texas",157,53,8321,166,3.27,27210
19,"d","Utah",26,46,1196,120,3.00,3588
19,"d","Vermont",6,47,282,121,6.75,1904
19,"d","Virginia",7,38,266,45,7.94,2112
19,"d","Washington",86,32,2752,660,3.18,8751
19,"d","West Virginia",7,39,273,98,5.91,1613
19,"d","Wisconsin",53,55,2915,816,3.22,9386
19,"d","Wyoming",30,45,1350,230,2.65,3578
19,"d","",,,,,,
19,"d","Other States 5/ 6/",53,63,3316,501,4.03,13363
19,"d","",,,,,,
19,"d","United States 6/ 7/",2667,47.0,125331,23181,3.01,377246
19,"c",""
19,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
19,"f","2/ Stocks held by producers."
19,"f","3/ Average price per pound based on expanded sales."
19,"f","4/ Value of production is equal to production multiplied by average price per pound."
19,"f","5/ Includes data for States not published in this table."
19,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
19,"f","7/ United States value of production will not equal summation of States."
