18,"t","Honey: Released March 15, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
18,"t","Honey Price by Color Class – United States: 2022 and 2023"
18,"h","","","","","","",""
18,"h","","Co-op and private","Co-op and private","Retail","Retail","All","All"
18,"h","Color class","","","","","",""
18,"h","","2022","2023","2022","2023","2022","2023"
18,"h","","","","","","",""
18,"u","","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)"
18,"d","Water white, extra white, white",2.70,1.99,5.57,5.87,2.81,2.09
18,"d","",,,,,,
18,"d","Extra light amber",2.66,2.17,5.62,5.78,2.78,2.33
18,"d","",,,,,,
18,"d","Light amber, amber, dark amber",2.87,2.63,6.09,6.78,3.23,3.20
18,"d","",,,,,,
18,"d","All other honey, area specialties",3.41,3.08,7.91,8.51,4.16,4.30
18,"d","",,,,,,
18,"d","All honey",2.77,2.23,6.02,6.55,3.01,2.52
18,"c",""
